"input_offset", "weights_offset", "output_offset", "output_multiplier", "output_shift", "quantized_activation_min", "quantized_activation_max", "batches", "output_depth", "accum_depth"
.-89, 0, -128, 1638001653, -8, -128, 127, 1, 128, 640,
.128, 0, -128, 1442659874, -5, -128, 127, 1, 128, 128,
.128, 0, -128, 1185020362, -2, -128, 127, 1, 128, 128,
.128, 0, -128, 1439819933, -4, -128, 127, 1, 128, 128,
.128, 0, -128, 1085889771, -6, -128, 127, 1, 8, 128,
.128, 0, -128, 1442237646, -5, -128, 127, 1, 128, 8,
.128, 0, -128, 1315670694, -5, -128, 127, 1, 128, 128,
.128, 0, -128, 1994356843, -6, -128, 127, 1, 128, 128,
.128, 0, -128, 1105921547, -6, -128, 127, 1, 128, 128,
.128, 0, 96, 1462485078, -9, -128, 127, 1, 640, 128,